ID	SL	TL	BC_SL	BC_TL	temp	origin	F1_diet	sex	weight	family	sample_type	Comments
AS02891	4.684	5.271	1.22608E-09	8.60382E-10	warm	hs	bw	f	1.26	21	basic	
AS02892	4.561	5.123	1.19096E-09	8.40437E-10	warm	hs	bw	m	1.13	21	basic	
AS02897	4.145	4.735	1.16548E-09	7.8184E-10	warm	cs	bw	m	0.83	18	basic	
AS02900	4.642	5.278	9.7974E-10	6.66527E-10	warm	cs	cl	f	0.98	29	basic	
AS02901	3.810	4.356	1.2476E-09	8.34806E-10	warm	cs	cl	f	0.69	29	basic	
AS02902	3.857	4.401	1.2374E-09	8.32922E-10	warm	cs	cl	f	0.71	29	basic	
AS02904	4.800	5.471	1.33825E-09	9.03778E-10	cold	cs	bw	m	1.48	13	cross	only 1 testis found
AS02905	4.749	5.334	1.1204E-09	7.90719E-10	cold	cs	bw	f	1.20	13	cross	
AS02906	4.698	5.351	1.38875E-09	9.39848E-10	cold	cs	cl	m	1.44	30	cross	
AS02907	4.345	4.944	1.09717E-09	7.44744E-10	cold	cs	cl	f	0.90	30	cross	
AS02908	4.824	5.487	1.21148E-09	8.23254E-10	cold	hs	cl	m	1.36	33_34_36	cross	
AS02909	4.631	5.246	9.56531E-10	6.58019E-10	cold	hs	cl	f	0.95	33_34_36	cross	
AS02910	4.440	5.006	1.23389E-09	8.60897E-10	cold	cs	bw	m	1.08	2	cross	
AS02911	4.413	5.030	1.29158E-09	8.72206E-10	cold	cs	bw	f	1.11	2	cross	family = offspring from one parental pair
AS02912	4.635	5.237	1.22521E-09	8.494E-10	cold	cs	bw	m	1.22	4	cross	
AS02913	4.152	4.704	1.07577E-09	7.39756E-10	cold	cs	bw	f	0.77	4	cross	
AS02914	4.701	5.310	1.19358E-09	8.28206E-10	cold	hs	cl	m	1.24	35	cross	
AS02915	4.607	5.223	9.71559E-10	6.66751E-10	cold	hs	cl	f	0.95	35	cross	
AS02920	5.554	6.182	1.34249E-09	9.73511E-10	cold	hs	bw	m	2.30	35	cross	
AS02921	4.279	4.781	1.09767E-09	7.86941E-10	cold	hs	bw	f	0.86	35	cross	
AS02922	4.983	5.593	1.34972E-09	9.54513E-10	cold	cs	bw	m	1.67	30	cross	
AS02923	4.414	4.979	1.05814E-09	7.3725E-10	cold	cs	bw	f	0.91	30	cross	
AS02924	4.461	5.019	1.40803E-09	9.88686E-10	cold	cs	bw	m	1.25	18	cross	
AS02925	4.153	4.737	1.27044E-09	8.56113E-10	cold	cs	bw	f	0.91	18	cross	
AS02926	5.026	5.642	1.44927E-09	1.02452E-09	cold	cs	bw	m	1.84	3	cross	1 albino testis
AS02927	4.165	4.739	1.20413E-09	8.17446E-10	cold	cs	bw	f	0.87	30	cross	
AS02928	4.800	5.380	1.23879E-09	8.79779E-10	cold	hs	bw	m	1.37	33_34_36	cross	
AS02929	4.436	4.990	1.04248E-09	7.32386E-10	cold	hs	bw	f	0.91	21	cross	
AS02930	4.607	5.146	1.33973E-09	9.61307E-10	cold	cs	bw	m	1.31	3	cross	
AS02931	4.090	4.645	1.21313E-09	8.28173E-10	cold	cs	bw	f	0.83	13	cross	
AS02932	4.338	4.944	1.07799E-09	7.28194E-10	cold	cs	cl	m	0.88	7	cross	
AS02933	4.281	4.857	9.8142E-10	6.72027E-10	cold	cs	cl	f	0.77	7	cross	
AS02934	4.498	5.102	1.1538E-09	7.9062E-10	cold	cs	cl	m	1.05	3	cross	
AS02935	4.384	4.956	9.732E-10	6.73628E-10	cold	cs	cl	f	0.82	14	cross	
AS02936	4.433	5.012	1.19382E-09	8.26038E-10	cold	cs	cl	m	1.04	30	cross	
AS02937	3.673	4.180	9.68676E-10	6.57222E-10	cold	cs	cl	f	0.48	30	cross	
AS02938	4.434	5.031	1.26184E-09	8.63833E-10	cold	hs	cl	m	1.10	33_34_36	cross	
AS02939	4.425	5.063	8.65608E-10	5.7788E-10	cold	hs	cl	f	0.75	33_34_36	cross	
AS02940	4.948	5.592	1.28776E-09	8.9212E-10	cold	cs	bw	m	1.56	13	cross	
AS02941	4.714	5.347	1.20282E-09	8.24214E-10	cold	cs	bw	m	1.26	13	cross	
AS02942	4.368	4.942	1.11593E-09	7.70504E-10	cold	cs	bw	f	0.93	13	cross	
AS02943	4.630	5.190	1.08813E-09	7.72541E-10	cold	cs	bw	f	1.08	13	cross	
AS02944	4.288	4.880	1.21761E-09	8.2606E-10	cold	cs	cl	m	0.96	18	cross	
AS02945	4.150	4.734	1.20325E-09	8.10613E-10	cold	cs	cl	m	0.86	18	cross	
AS02946	3.967	4.586	1.13729E-09	7.36133E-10	cold	cs	cl	f	0.71	18	cross	
AS02947	3.958	4.548	9.8379E-10	6.48438E-10	cold	cs	cl	f	0.61	18	cross	
AS02948	4.328	4.992	1.20883E-09	7.87775E-10	cold	cs	cl	m	0.98	2	cross	
AS02949	3.918	4.533	1.01423E-09	6.54897E-10	cold	cs	cl	f	0.61	2	cross	
AS02950	4.677	5.260	1.30002E-09	9.13891E-10	cold	hs	bw	m	1.33	35	cross	
AS02951	5.218	5.812	1.22472E-09	8.86283E-10	cold	hs	bw	m	1.74	35	cross	
AS02952	4.610	5.215	1.27587E-09	8.81347E-10	cold	hs	bw	f	1.25	35	cross	
